(n = 1, r = 2, j = 1, k = 1): 2 possible binary strings.
(n = 3, r = 2, j = 7, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 7, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 7, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 8, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 8, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 8, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 8, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 8, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 9, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 9, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 9, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 9, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 9, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 10, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 10, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 10, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 10, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 10, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 11, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 11, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 11, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 11, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 11, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 12, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 12, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 12, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 12, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 12, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 13, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 13, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 13, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 13, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 13, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 14, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 14, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 14, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 14, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 14, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 15, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 15, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 15, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 15, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 15, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 16, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 16, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 16, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 16, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 16, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 17, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 17, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 17, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 17, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 17, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 18, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 18, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 18, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 18, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 18, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 19, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 19, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 19, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 19, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 19, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 20, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 20, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 20, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 20, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 20, k = 5): 0 possible binary strings.
(n = 3, r = 2, j = 21, k = 1): 0 possible binary strings.
(n = 3, r = 2, j = 21, k = 2): 0 possible binary strings.
(n = 3, r = 2, j = 21, k = 3): 0 possible binary strings.
(n = 3, r = 2, j = 21, k = 4): 0 possible binary strings.
(n = 3, r = 2, j = 21, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 1, k = 1): 7 possible binary strings.
(n = 3, r = 3, j = 1, k = 2): 7 possible binary strings.
(n = 3, r = 3, j = 1, k = 3): 7 possible binary strings.
(n = 3, r = 3, j = 1, k = 4): 7 possible binary strings.
(n = 3, r = 3, j = 1, k = 5): 7 possible binary strings.
(n = 3, r = 3, j = 2, k = 1): 21 possible binary strings.
(n = 3, r = 3, j = 2, k = 2): 21 possible binary strings.
(n = 3, r = 3, j = 2, k = 3): 21 possible binary strings.
(n = 3, r = 3, j = 2, k = 4): 21 possible binary strings.
(n = 3, r = 3, j = 2, k = 5): 21 possible binary strings.
(n = 3, r = 3, j = 3, k = 1): 32 possible binary strings.
(n = 3, r = 3, j = 3, k = 2): 35 possible binary strings.
(n = 3, r = 3, j = 3, k = 3): 35 possible binary strings.
(n = 3, r = 3, j = 3, k = 4): 35 possible binary strings.
(n = 3, r = 3, j = 3, k = 5): 35 possible binary strings.
(n = 3, r = 3, j = 4, k = 1): 23 possible binary strings.
(n = 3, r = 3, j = 4, k = 2): 35 possible binary strings.
(n = 3, r = 3, j = 4, k = 3): 35 possible binary strings.
(n = 3, r = 3, j = 4, k = 4): 35 possible binary strings.
(n = 3, r = 3, j = 4, k = 5): 35 possible binary strings.
(n = 3, r = 3, j = 5, k = 1): 5 possible binary strings.
(n = 3, r = 3, j = 5, k = 2): 19 possible binary strings.
(n = 3, r = 3, j = 5, k = 3): 21 possible binary strings.
(n = 3, r = 3, j = 5, k = 4): 21 possible binary strings.
(n = 3, r = 3, j = 5, k = 5): 21 possible binary strings.
(n = 3, r = 3, j = 6, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 6, k = 2): 3 possible binary strings.
(n = 3, r = 3, j = 6, k = 3): 7 possible binary strings.
(n = 3, r = 3, j = 6, k = 4): 7 possible binary strings.
(n = 3, r = 3, j = 6, k = 5): 7 possible binary strings.
(n = 3, r = 3, j = 7, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 7, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 7, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 7, k = 4): 1 possible binary strings.
(n = 3, r = 3, j = 7, k = 5): 1 possible binary strings.
(n = 3, r = 3, j = 8, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 8, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 8, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 8, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 8, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 9, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 9, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 9, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 9, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 9, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 10, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 10, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 10, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 10, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 10, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 11, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 11, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 11, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 11, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 11, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 12, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 12, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 12, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 12, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 12, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 13, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 13, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 13, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 13, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 13, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 14, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 14, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 14, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 14, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 14, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 15, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 15, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 15, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 15, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 15, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 16, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 16, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 16, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 16, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 16, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 17, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 17, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 17, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 17, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 17, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 18, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 18, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 18, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 18, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 18, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 19, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 19, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 19, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 19, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 19, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 20, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 20, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 20, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 20, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 20, k = 5): 0 possible binary strings.
(n = 3, r = 3, j = 21, k = 1): 0 possible binary strings.
(n = 3, r = 3, j = 21, k = 2): 0 possible binary strings.
(n = 3, r = 3, j = 21, k = 3): 0 possible binary strings.
(n = 3, r = 3, j = 21, k = 4): 0 possible binary strings.
(n = 3, r = 3, j = 21, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 1, k = 1): 10 possible binary strings.
(n = 3, r = 4, j = 1, k = 2): 10 possible binary strings.
(n = 3, r = 4, j = 1, k = 3): 10 possible binary strings.
(n = 3, r = 4, j = 1, k = 4): 10 possible binary strings.
(n = 3, r = 4, j = 1, k = 5): 10 possible binary strings.
(n = 3, r = 4, j = 2, k = 1): 45 possible binary strings.
(n = 3, r = 4, j = 2, k = 2): 45 possible binary strings.
(n = 3, r = 4, j = 2, k = 3): 45 possible binary strings.
(n = 3, r = 4, j = 2, k = 4): 45 possible binary strings.
(n = 3, r = 4, j = 2, k = 5): 45 possible binary strings.
(n = 3, r = 4, j = 3, k = 1): 120 possible binary strings.
(n = 3, r = 4, j = 3, k = 2): 120 possible binary strings.
(n = 3, r = 4, j = 3, k = 3): 120 possible binary strings.
(n = 3, r = 4, j = 3, k = 4): 120 possible binary strings.
(n = 3, r = 4, j = 3, k = 5): 120 possible binary strings.
(n = 3, r = 4, j = 4, k = 1): 207 possible binary strings.
(n = 3, r = 4, j = 4, k = 2): 210 possible binary strings.
(n = 3, r = 4, j = 4, k = 3): 210 possible binary strings.
(n = 3, r = 4, j = 4, k = 4): 210 possible binary strings.
(n = 3, r = 4, j = 4, k = 5): 210 possible binary strings.
(n = 3, r = 4, j = 5, k = 1): 234 possible binary strings.
(n = 3, r = 4, j = 5, k = 2): 252 possible binary strings.
(n = 3, r = 4, j = 5, k = 3): 252 possible binary strings.
(n = 3, r = 4, j = 5, k = 4): 252 possible binary strings.
(n = 3, r = 4, j = 5, k = 5): 252 possible binary strings.
(n = 3, r = 4, j = 6, k = 1): 165 possible binary strings.
(n = 3, r = 4, j = 6, k = 2): 210 possible binary strings.
(n = 3, r = 4, j = 6, k = 3): 210 possible binary strings.
(n = 3, r = 4, j = 6, k = 4): 210 possible binary strings.
(n = 3, r = 4, j = 6, k = 5): 210 possible binary strings.
(n = 3, r = 4, j = 7, k = 1): 62 possible binary strings.
(n = 3, r = 4, j = 7, k = 2): 118 possible binary strings.
(n = 3, r = 4, j = 7, k = 3): 120 possible binary strings.
(n = 3, r = 4, j = 7, k = 4): 120 possible binary strings.
(n = 3, r = 4, j = 7, k = 5): 120 possible binary strings.
(n = 3, r = 4, j = 8, k = 1): 7 possible binary strings.
(n = 3, r = 4, j = 8, k = 2): 39 possible binary strings.
(n = 3, r = 4, j = 8, k = 3): 45 possible binary strings.
(n = 3, r = 4, j = 8, k = 4): 45 possible binary strings.
(n = 3, r = 4, j = 8, k = 5): 45 possible binary strings.
(n = 3, r = 4, j = 9, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 9, k = 2): 4 possible binary strings.
(n = 3, r = 4, j = 9, k = 3): 10 possible binary strings.
(n = 3, r = 4, j = 9, k = 4): 10 possible binary strings.
(n = 3, r = 4, j = 9, k = 5): 10 possible binary strings.
(n = 3, r = 4, j = 10, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 10, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 10, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 10, k = 4): 1 possible binary strings.
(n = 3, r = 4, j = 10, k = 5): 1 possible binary strings.
(n = 3, r = 4, j = 11, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 11, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 11, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 11, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 11, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 12, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 12, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 12, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 12, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 12, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 13, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 13, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 13, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 13, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 13, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 14, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 14, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 14, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 14, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 14, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 15, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 15, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 15, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 15, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 15, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 16, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 16, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 16, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 16, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 16, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 17, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 17, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 17, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 17, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 17, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 18, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 18, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 18, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 18, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 18, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 19, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 19, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 19, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 19, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 19, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 20, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 20, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 20, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 20, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 20, k = 5): 0 possible binary strings.
(n = 3, r = 4, j = 21, k = 1): 0 possible binary strings.
(n = 3, r = 4, j = 21, k = 2): 0 possible binary strings.
(n = 3, r = 4, j = 21, k = 3): 0 possible binary strings.
(n = 3, r = 4, j = 21, k = 4): 0 possible binary strings.
(n = 3, r = 4, j = 21, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 1, k = 1): 13 possible binary strings.
(n = 3, r = 5, j = 1, k = 2): 13 possible binary strings.
(n = 3, r = 5, j = 1, k = 3): 13 possible binary strings.
(n = 3, r = 5, j = 1, k = 4): 13 possible binary strings.
(n = 3, r = 5, j = 1, k = 5): 13 possible binary strings.
(n = 3, r = 5, j = 2, k = 1): 78 possible binary strings.
(n = 3, r = 5, j = 2, k = 2): 78 possible binary strings.
(n = 3, r = 5, j = 2, k = 3): 78 possible binary strings.
(n = 3, r = 5, j = 2, k = 4): 78 possible binary strings.
(n = 3, r = 5, j = 2, k = 5): 78 possible binary strings.
(n = 3, r = 5, j = 3, k = 1): 286 possible binary strings.
(n = 3, r = 5, j = 3, k = 2): 286 possible binary strings.
(n = 3, r = 5, j = 3, k = 3): 286 possible binary strings.
(n = 3, r = 5, j = 3, k = 4): 286 possible binary strings.
(n = 3, r = 5, j = 3, k = 5): 286 possible binary strings.
(n = 3, r = 5, j = 4, k = 1): 715 possible binary strings.
(n = 3, r = 5, j = 4, k = 2): 715 possible binary strings.
(n = 3, r = 5, j = 4, k = 3): 715 possible binary strings.
(n = 3, r = 5, j = 4, k = 4): 715 possible binary strings.
(n = 3, r = 5, j = 4, k = 5): 715 possible binary strings.
(n = 3, r = 5, j = 5, k = 1): 1284 possible binary strings.
(n = 3, r = 5, j = 5, k = 2): 1287 possible binary strings.
(n = 3, r = 5, j = 5, k = 3): 1287 possible binary strings.
(n = 3, r = 5, j = 5, k = 4): 1287 possible binary strings.
(n = 3, r = 5, j = 5, k = 5): 1287 possible binary strings.
(n = 3, r = 5, j = 6, k = 1): 1692 possible binary strings.
(n = 3, r = 5, j = 6, k = 2): 1716 possible binary strings.
(n = 3, r = 5, j = 6, k = 3): 1716 possible binary strings.
(n = 3, r = 5, j = 6, k = 4): 1716 possible binary strings.
(n = 3, r = 5, j = 6, k = 5): 1716 possible binary strings.
(n = 3, r = 5, j = 7, k = 1): 1632 possible binary strings.
(n = 3, r = 5, j = 7, k = 2): 1716 possible binary strings.
(n = 3, r = 5, j = 7, k = 3): 1716 possible binary strings.
(n = 3, r = 5, j = 7, k = 4): 1716 possible binary strings.
(n = 3, r = 5, j = 7, k = 5): 1716 possible binary strings.
(n = 3, r = 5, j = 8, k = 1): 1119 possible binary strings.
(n = 3, r = 5, j = 8, k = 2): 1287 possible binary strings.
(n = 3, r = 5, j = 8, k = 3): 1287 possible binary strings.
(n = 3, r = 5, j = 8, k = 4): 1287 possible binary strings.
(n = 3, r = 5, j = 8, k = 5): 1287 possible binary strings.
(n = 3, r = 5, j = 9, k = 1): 507 possible binary strings.
(n = 3, r = 5, j = 9, k = 2): 713 possible binary strings.
(n = 3, r = 5, j = 9, k = 3): 715 possible binary strings.
(n = 3, r = 5, j = 9, k = 4): 715 possible binary strings.
(n = 3, r = 5, j = 9, k = 5): 715 possible binary strings.
(n = 3, r = 5, j = 10, k = 1): 127 possible binary strings.
(n = 3, r = 5, j = 10, k = 2): 278 possible binary strings.
(n = 3, r = 5, j = 10, k = 3): 286 possible binary strings.
(n = 3, r = 5, j = 10, k = 4): 286 possible binary strings.
(n = 3, r = 5, j = 10, k = 5): 286 possible binary strings.
(n = 3, r = 5, j = 11, k = 1): 9 possible binary strings.
(n = 3, r = 5, j = 11, k = 2): 66 possible binary strings.
(n = 3, r = 5, j = 11, k = 3): 78 possible binary strings.
(n = 3, r = 5, j = 11, k = 4): 78 possible binary strings.
(n = 3, r = 5, j = 11, k = 5): 78 possible binary strings.
(n = 3, r = 5, j = 12, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 12, k = 2): 5 possible binary strings.
(n = 3, r = 5, j = 12, k = 3): 13 possible binary strings.
(n = 3, r = 5, j = 12, k = 4): 13 possible binary strings.
(n = 3, r = 5, j = 12, k = 5): 13 possible binary strings.
(n = 3, r = 5, j = 13, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 13, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 13, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 13, k = 4): 1 possible binary strings.
(n = 3, r = 5, j = 13, k = 5): 1 possible binary strings.
(n = 3, r = 5, j = 14, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 14, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 14, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 14, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 14, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 15, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 15, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 15, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 15, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 15, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 16, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 16, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 16, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 16, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 16, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 17, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 17, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 17, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 17, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 17, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 18, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 18, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 18, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 18, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 18, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 19, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 19, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 19, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 19, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 19, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 20, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 20, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 20, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 20, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 20, k = 5): 0 possible binary strings.
(n = 3, r = 5, j = 21, k = 1): 0 possible binary strings.
(n = 3, r = 5, j = 21, k = 2): 0 possible binary strings.
(n = 3, r = 5, j = 21, k = 3): 0 possible binary strings.
(n = 3, r = 5, j = 21, k = 4): 0 possible binary strings.
(n = 3, r = 5, j = 21, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 1, k = 1): 5 possible binary strings.
(n = 4, r = 2, j = 1, k = 2): 5 possible binary strings.
(n = 4, r = 2, j = 1, k = 3): 5 possible binary strings.
(n = 4, r = 2, j = 1, k = 4): 5 possible binary strings.
(n = 4, r = 2, j = 1, k = 5): 5 possible binary strings.
(n = 4, r = 2, j = 2, k = 1): 6 possible binary strings.
(n = 4, r = 2, j = 2, k = 2): 10 possible binary strings.
(n = 4, r = 2, j = 2, k = 3): 10 possible binary strings.
(n = 4, r = 2, j = 2, k = 4): 10 possible binary strings.
(n = 4, r = 2, j = 2, k = 5): 10 possible binary strings.
(n = 4, r = 2, j = 3, k = 1): 1 possible binary strings.
(n = 4, r = 2, j = 3, k = 2): 7 possible binary strings.
(n = 4, r = 2, j = 3, k = 3): 10 possible binary strings.
(n = 4, r = 2, j = 3, k = 4): 10 possible binary strings.
(n = 4, r = 2, j = 3, k = 5): 10 possible binary strings.
(n = 4, r = 2, j = 4, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 4, k = 2): 1 possible binary strings.
(n = 4, r = 2, j = 4, k = 3): 3 possible binary strings.
(n = 4, r = 2, j = 4, k = 4): 5 possible binary strings.
(n = 4, r = 2, j = 4, k = 5): 5 possible binary strings.
(n = 4, r = 2, j = 5, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 5, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 5, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 5, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 5, k = 5): 1 possible binary strings.
(n = 4, r = 2, j = 6, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 6, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 6, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 6, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 6, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 7, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 7, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 7, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 7, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 7, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 8, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 8, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 8, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 8, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 8, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 9, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 9, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 9, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 9, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 9, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 10, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 10, k = 2): 0 possible binary strings.
